ResponseId,Finished,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,QID45,QID46,QID20,QID21,QID50,QID51,QID52,QID53,QID55,QID56,QID57,QID58,QID70,QID71,QID72,QID73,QID76,QID77,QID78,QID79,QID82,QID83,QID84,QID85,
Response ID,Finished,What is your age range,Gender,Are you currently an undergraduate or a graduate student?,How price-sensitive are you when making purchases?,How often do you make purchases online?,How would you rate your level of impulsive purchasing?,I often make impulse purchases,Limited stock makes me more likely to buy something,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,How likely are you to purchase this item?,How urgent does this purchase feel to you?,"If you did not purchase this item now, how much regret would you feel?",What did the availability messaging say?,
R_3lsKvK0Jg664xnd,TRUE,26+,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Very impulsive,Strongly agree,Neither agree nor disagree,Somewhat likely,Very urgent,None at all,Only 3 left in stock,Somewhat likely,Moderately urgent,A lot,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_3g2e2mgxFgQdnYz,TRUE,26+,Non-binary / third gender,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Disagree,Neither agree nor disagree,,,,,,,,,,,,,Somewhat unlikely,Slightly urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_5QYe0WkAQuDWk5E,TRUE,22-25,Male,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Somewhat Disagree,Somewhat disagree,Somewhat likely,Moderately urgent,A little,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_6cvLdx8OHhwIEAU,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Somewhat likely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_3EnYo2qByLAB1JO,TRUE,22-25,Male,Graduate,Very price-sensitive,Rarely (a few times a year),Not at all impulsive,Strongly disagree,Somewhat agree,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_7ylRXKLLxOmnK2G,TRUE,26+,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Not at all impulsive,Strongly disagree,Strongly disagree,Somewhat unlikely,Moderately urgent,A little,In stock. Available.,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_2guBSPEaiZC9TvX,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Neither Agree nor Disagree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Slightly urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_8ypwNeyXrsRSuPi,TRUE,22-25,Female,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Neither Agree nor Disagree,Somewhat disagree,,,,,,,,,,,,,Somewhat unlikely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A little,Only 3 left in stock,
R_8VW1sAp7LIrotPj,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Rarely (a few times a year),Not at all impulsive,Somewhat Disagree,Somewhat agree,Somewhat likely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,A little,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_8IWotwlVlHx6ktp,TRUE,18-21,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Somewhat unlikely,Slightly urgent,A little,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_8cdbq8QEjLoAjjm,TRUE,18-21,Male,Undergraduate,Very price-sensitive,Rarely (a few times a year),Not at all impulsive,Somewhat Disagree,Strongly disagree,,,,,,,,,,,,,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat likely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
