response_id,condition,treat,age_range,gender,student_status,price_sensitivity_num,purchase_freq_num,impulsive_num,impulse_agree_num,scarcity_agree_num,is_female,is_grad,age_22_25,likelihood,urgency,regret,scarcity_msg,product
R_5QYe0WkAQuDWk5E,control,0,22-25,Male,Graduate,2,2,1,2,2,0,1,1,4,3,2,0,1
R_6cvLdx8OHhwIEAU,treatment,1,22-25,Female,Graduate,2,3,3,4,4,1,1,1,4,2,1,1,1
R_3EnYo2qByLAB1JO,control,0,22-25,Male,Graduate,3,1,1,1,4,0,1,1,2,1,1,0,1
R_2guBSPEaiZC9TvX,treatment,1,22-25,Female,Graduate,2,3,2,3,4,1,1,1,2,3,2,1,1
R_8ypwNeyXrsRSuPi,treatment,1,22-25,Female,Undergraduate,2,2,2,3,2,1,0,1,2,2,1,1,1
R_8VW1sAp7LIrotPj,control,0,22-25,Female,Graduate,2,1,1,2,4,1,1,1,4,1,1,0,1
R_8IWotwlVlHx6ktp,control,0,18-21,Female,Graduate,2,2,2,2,4,1,1,0,2,2,2,0,1
R_8cdbq8QEjLoAjjm,treatment,1,18-21,Male,Undergraduate,3,1,1,2,1,0,0,0,1,1,1,1,1
R_1NrJlhSribcBnwG,treatment,1,22-25,Male,Graduate,3,1,5,4,3,0,1,1,4,4,4,0,1
R_6mJSZCtIRVBIVYl,treatment,1,22-25,Male,Graduate,2,3,3,3,2,0,1,1,4,4,2,1,1
R_5tLN4456AExLnYi,control,0,18-21,Male,Undergraduate,1,2,3,4,4,0,0,0,2,1,1,0,1
R_3349y4V4hq77PAk,control,0,22-25,Male,Graduate,2,3,2,5,3,0,1,1,4,3,1,0,1
R_8mDfuzsDNCGr6Ux,treatment,1,22-25,Female,Graduate,1,3,3,4,4,1,1,1,4,3,2,1,1
R_5CKjGXRd9s9VIHh,treatment,1,22-25,Male,Graduate,3,2,2,3,4,0,1,1,4,2,2,1,1
R_9MLhVxgZfjXHif1,treatment,1,22-25,Male,Graduate,3,2,2,4,2,0,1,1,2,1,1,1,1
R_24912TwY6aSmgoH,treatment,1,22-25,Male,Graduate,2,1,3,3,4,0,1,1,2,1,1,1,1
R_6KCvN3yJuO6Msxl,control,0,18-21,Female,Undergraduate,3,3,2,3,4,1,0,0,4,4,3,0,1
R_3gtiTRYw4S4chWe,control,0,22-25,Male,Undergraduate,2,1,2,3,4,0,0,1,1,1,1,0,1
R_1GNYmV1zBEMX8lu,treatment,1,22-25,Female,Graduate,2,3,2,4,4,1,1,1,5,4,3,1,1
R_13joXZMHRhLzT5S,treatment,1,18-21,Non-binary / third gender,Undergraduate,2,2,2,4,2,0,0,0,4,4,1,1,1
R_7qCJupyNUYpWdyZ,control,0,22-25,Male,Graduate,3,3,4,4,3,0,1,1,2,2,3,0,1
